total extension (nm),DNA extension (nm),average force (pN),sd force (pN),average bp unzipped,sd bp unzipped
2143,1939.64,15.0606,0.0821284,1285.02,3.10592
2144,1940.28,15.0875,0.0832366,1285.08,3.14695
2145,1940.92,15.1143,0.0848487,1285.14,3.20741
2146,1941.56,15.141,0.0870664,1285.21,3.29118
2147,1942.2,15.1676,0.0900114,1285.28,3.40291
2148,1942.84,15.1941,0.0938275,1285.36,3.54806
2149,1943.49,15.2204,0.0986818,1285.44,3.73295
2150,1944.13,15.2464,0.104767,1285.53,3.96486
2151,1944.79,15.2721,0.112303,1285.64,4.25207
2152,1945.45,15.2974,0.121539,1285.76,4.60402
2153,1946.11,15.322,0.132759,1285.9,5.03138
2154,1946.79,15.3459,0.146285,1286.08,5.54628
2155,1947.48,15.3687,0.162479,1286.29,6.1625
2156,1948.19,15.3902,0.181753,1286.55,6.89561
2157,1948.93,15.41,0.204565,1286.88,7.76304
2158,1949.69,15.4273,0.231418,1287.3,8.78391
2159,1950.5,15.4415,0.262839,1287.84,9.97841
2160,1951.37,15.4515,0.299348,1288.53,11.3665
2161,1952.31,15.4555,0.345878,1289.53,13.1383
2162,1953.38,15.4507,0.399434,1290.87,15.179
2163,1954.6,15.4343,0.459813,1292.64,17.4818
2164,1956.02,15.4031,0.525901,1294.98,20.0057
2165,1957.68,15.3538,0.595235,1297.99,22.6586
2166,1959.63,15.2838,0.663654,1301.79,25.2844
2167,1961.87,15.1919,0.72533,1306.41,27.6635
2168,1964.38,15.08,0.773496,1311.79,29.5402
2169,1967.09,14.9532,0.802005,1317.74,30.6821
2170,1969.9,14.8196,0.807267,1323.94,30.9523
2171,1972.67,14.6886,0.789586,1330.04,30.3609
2172,1975.29,14.5683,0.753084,1335.74,29.0616
2173,1977.7,14.464,0.704226,1340.83,27.2962
2174,1979.86,14.3779,0.64984,1345.22,25.3202
2175,1981.79,14.3093,0.595576,1348.95,23.3437
2176,1983.51,14.256,0.545216,1352.08,21.5065
2177,1985.05,14.2155,0.500708,1354.72,19.8796
2178,1986.46,14.1852,0.462592,1356.98,18.4819
2179,1987.77,14.1628,0.430518,1358.92,17.3001
2180,1988.98,14.1466,0.403702,1360.62,16.3057
2181,1990.14,14.1352,0.381241,1362.13,15.4664
2182,1991.24,14.1276,0.362293,1363.48,14.7528
2183,1992.3,14.1232,0.346162,1364.72,14.1407
2184,1993.33,14.1212,0.332312,1365.85,13.6119
