total extension (nm),DNA extension (nm),average force (pN),sd force (pN),average bp unzipped,sd bp unzipped
296,295.738,0.0193682,9.35345e-08,0.321562,0.555031
297,296.738,0.0193668,6.39801e-08,0.32156,0.555031
298,297.739,0.0193655,9.35342e-08,0.321562,0.555031
299,298.739,0.0193641,9.35229e-08,0.321562,0.555031
300,299.739,0.0193627,6.39772e-08,0.32156,0.555031
301,300.739,0.0193614,9.35353e-08,0.321562,0.555031
302,301.739,0.01936,6.3978e-08,0.32156,0.555031
303,302.739,0.0193586,6.35585e-08,0.32156,0.555031
304,303.739,0.0193573,9.35345e-08,0.321562,0.555031
305,304.739,0.0193559,6.3981e-08,0.32156,0.555031
306,305.739,0.0193546,9.35359e-08,0.321562,0.555031
307,306.739,0.0193532,9.2118e-08,0.321562,0.555031
308,307.739,0.0193518,6.35589e-08,0.32156,0.555031
309,308.739,0.0193505,9.35359e-08,0.321562,0.555031
310,309.739,0.0193491,6.3978e-08,0.32156,0.555031
311,310.739,0.0193478,9.35359e-08,0.321562,0.555031
312,311.739,0.0193464,6.3981e-08,0.32156,0.555031
313,312.739,0.019345,5.41485e-08,0.32156,0.55503
314,313.739,0.0193437,9.21165e-08,0.321562,0.555031
315,314.739,0.0193423,6.39776e-08,0.32156,0.555031
316,315.739,0.019341,9.35351e-08,0.321562,0.555031
317,316.739,0.0193396,6.39776e-08,0.32156,0.555031
318,317.739,0.0193383,9.35348e-08,0.321562,0.555031
319,318.739,0.0193369,6.39776e-08,0.32156,0.555031
320,319.739,0.0193355,5.415e-08,0.32156,0.55503
321,320.739,0.0193342,9.21171e-08,0.321562,0.555031
322,321.739,0.0193328,6.35606e-08,0.32156,0.555031
323,322.739,0.0193315,9.35243e-08,0.321562,0.555031
324,323.739,0.0193301,6.3978e-08,0.32156,0.555031
325,324.739,0.0193288,9.35365e-08,0.321562,0.555031
326,325.739,0.0193274,6.39772e-08,0.32156,0.555031
327,326.739,0.0193261,9.35339e-08,0.321562,0.555031
328,327.739,0.0193247,6.39789e-08,0.32156,0.555031
329,328.739,0.0193234,9.35356e-08,0.321562,0.555031
330,329.739,0.019322,6.39772e-08,0.32156,0.555031
331,330.739,0.0193207,9.35351e-08,0.321562,0.555031
332,331.739,0.0193193,6.39789e-08,0.32156,0.555031
333,332.739,0.019318,9.35356e-08,0.321562,0.555031
334,333.739,0.0193166,6.39793e-08,0.32156,0.555031
335,334.739,0.0193153,9.35342e-08,0.321562,0.555031
336,335.739,0.0193139,6.39793e-08,0.32156,0.555031
337,336.739,0.0193126,9.35348e-08,0.321562,0.555031
338,337.739,0.0193112,6.39789e-08,0.32156,0.555031
339,338.739,0.0193099,9.35348e-08,0.321562,0.555031
340,339.739,0.0193085,6.39789e-08,0.32156,0.555031
341,340.739,0.0193072,9.35353e-08,0.321562,0.555031
342,341.739,0.0193058,6.39797e-08,0.32156,0.555031
343,342.739,0.0193045,9.35356e-08,0.321562,0.555031
344,343.739,0.0193031,6.39768e-08,0.32156,0.555031
345,344.739,0.0193018,9.35345e-08,0.321562,0.555031
346,345.739,0.0193004,6.3978e-08,0.32156,0.555031
347,346.739,0.0192991,9.35235e-08,0.321562,0.555031
348,347.739,0.0192977,6.35589e-08,0.32156,0.555031
349,348.739,0.0192964,9.21168e-08,0.321562,0.555031
350,349.739,0.019295,6.35611e-08,0.32156,0.555031
351,350.739,0.0192937,6.3978e-08,0.32156,0.555031
352,351.74,0.0192923,5.41485e-08,0.32156,0.55503
353,352.74,0.019291,6.3978e-08,0.32156,0.555031
354,353.74,0.0192897,9.35356e-08,0.321562,0.555031
355,354.74,0.0192883,6.39768e-08,0.32156,0.555031
356,355.74,0.019287,9.3524e-08,0.321562,0.555031
357,356.74,0.0192856,5.38811e-08,0.32156,0.55503
358,357.74,0.0192843,9.21162e-08,0.321562,0.555031
359,358.74,0.019283,9.35353e-08,0.321562,0.555031
360,359.74,0.0192816,6.39801e-08,0.32156,0.555031
361,360.74,0.0192803,9.35232e-08,0.321562,0.555031
362,361.74,0.0192789,6.39785e-08,0.32156,0.555031
363,362.74,0.0192776,9.21174e-08,0.321562,0.555031
364,363.74,0.0192762,5.4149e-08,0.32156,0.55503
365,364.74,0.0192749,6.39772e-08,0.32156,0.555031
366,365.74,0.0192736,9.35226e-08,0.321562,0.555031
367,366.74,0.0192722,6.3978e-08,0.32156,0.555031
368,367.74,0.0192709,9.21165e-08,0.321562,0.555031
369,368.74,0.0192696,9.35353e-08,0.321562,0.555031
370,369.74,0.0192682,6.3978e-08,0.32156,0.555031
371,370.74,0.0192669,9.3522e-08,0.321562,0.555031
372,371.74,0.0192655,5.4148e-08,0.32156,0.55503
373,372.74,0.0192642,6.39806e-08,0.32156,0.555031
374,373.74,0.0192629,9.35351e-08,0.321562,0.555031
375,374.74,0.0192615,6.35602e-08,0.32156,0.555031
376,375.74,0.0192602,6.39797e-08,0.32156,0.555031
377,376.74,0.0192589,9.35351e-08,0.321562,0.555031
378,377.74,0.0192575,6.39772e-08,0.32156,0.555031
379,378.74,0.0192562,9.21183e-08,0.321562,0.555031
380,379.74,0.0192549,9.35359e-08,0.321562,0.555031
381,380.74,0.0192535,6.39768e-08,0.32156,0.555031
382,381.74,0.0192522,9.21159e-08,0.321562,0.555031
383,382.74,0.0192508,5.4148e-08,0.32156,0.55503
384,383.74,0.0192495,6.39768e-08,0.32156,0.555031
385,384.74,0.0192482,9.21156e-08,0.321562,0.555031
386,385.74,0.0192468,5.4146e-08,0.32156,0.55503
387,386.74,0.0192455,6.39768e-08,0.32156,0.555031
388,387.74,0.0192442,9.21171e-08,0.321562,0.555031
389,388.74,0.0192428,5.4146e-08,0.32156,0.55503
390,389.74,0.0192415,6.39751e-08,0.32156,0.555031
391,390.74,0.0192402,9.2118e-08,0.321562,0.555031
392,391.74,0.0192389,9.35353e-08,0.321562,0.555031
393,392.74,0.0192375,6.35606e-08,0.32156,0.555031
394,393.74,0.0192362,6.39789e-08,0.32156,0.555031
395,394.74,0.0192349,9.35223e-08,0.321562,0.555031
396,395.74,0.0192335,5.4148e-08,0.32156,0.55503
397,396.74,0.0192322,6.39789e-08,0.32156,0.555031
398,397.74,0.0192308,9.2118e-08,0.321562,0.555031
399,398.74,0.0192295,9.35356e-08,0.321562,0.555031
400,399.74,0.0192282,6.35589e-08,0.32156,0.555031
401,400.74,0.0192269,6.39789e-08,0.32156,0.555031
402,401.74,0.0192255,9.35235e-08,0.321562,0.555031
403,402.74,0.0192242,5.41505e-08,0.32156,0.55503
404,403.74,0.0192229,6.39768e-08,0.32156,0.555031
405,404.74,0.0192215,9.21165e-08,0.321562,0.555031
406,405.74,0.0192202,9.35249e-08,0.321562,0.555031
407,406.74,0.0192189,5.41455e-08,0.32156,0.55503
408,407.741,0.0192176,6.35598e-08,0.32156,0.555031
409,408.741,0.0192163,6.39789e-08,0.32156,0.555031
410,409.741,0.0192149,9.3524e-08,0.321562,0.555031
411,410.741,0.0192136,5.4149e-08,0.32156,0.55503
412,411.741,0.0192123,6.39772e-08,0.32156,0.555031
413,412.741,0.0192109,9.21165e-08,0.321562,0.555031
