# zMean	zSD	jMean	jSD	FMean	FSD	TotSteps
9.067379031326597669e+02	5.424860617547425656e-01	1.938911476867119177e+02	1.476186366826732410e+01	1.495180689399521157e+01	4.017651773355623845e-02	5.700000000000000000e+01
9.086230317769740168e+02	5.220036316201021043e-01	1.947988639221862854e+02	1.400365510022675153e+01	1.518249426659730439e+01	3.865958895778476290e-02	6.200000000000000000e+01
9.104938020077814826e+02	5.478180547895183938e-01	1.957042350974103329e+02	1.453974111896968680e+01	1.541424502330370316e+01	4.057140513771173573e-02	6.500000000000000000e+01
9.124162724719278685e+02	6.504729431056872624e-01	1.967061838821955462e+02	1.710738234660675516e+01	1.564216686072902185e+01	4.817402616640720225e-02	6.600000000000000000e+01
9.145475234001361287e+02	9.432403860643994165e-01	1.980130839366196653e+02	2.476077779551997082e+01	1.585462641698591391e+01	6.985638299192942213e-02	6.900000000000000000e+01
9.172952334759078212e+02	1.756678806367123036e+00	2.001894558195172067e+02	4.616651869068300584e+01	1.602143100877426818e+01	1.300996323995491366e-01	7.400000000000000000e+01
9.215950983078962508e+02	3.530658917008890008e+00	2.045363907275690849e+02	9.259231416356487898e+01	1.607328301931720560e+01	2.614805993936784034e-01	8.700000000000000000e+01
9.281820155889026864e+02	4.998421552222766628e+00	2.120258199908842585e+02	1.307508527086392860e+02	1.595575592548586741e+01	3.701831001576181279e-01	1.000000000000000000e+02
9.351986036369891053e+02	4.388758694534392824e+00	2.200869684410350828e+02	1.174174760726455133e+02	1.580640741464458543e+01	3.250314689172171256e-01	1.140000000000000000e+02
9.429065007805626237e+02	7.730552047892088829e+00	2.293516863990820127e+02	2.257837972098059254e+02	1.560586055219153323e+01	5.725246846668881062e-01	1.120000000000000000e+02
9.584505384463327573e+02	1.277911434762365417e+01	2.503429526035533002e+02	3.797863682736715418e+02	1.482496912266459788e+01	9.464212085850078893e-01	1.180000000000000000e+02
9.693813667673891814e+02	3.286887824330800179e+00	2.643262514239550569e+02	9.781075793382478878e+01	1.438573197720715591e+01	2.434269122699390664e-01	1.100000000000000000e+02
9.728783034581384754e+02	7.782771210034578058e-01	2.672603438107231000e+02	2.422049592442635912e+01	1.449704884589026399e+01	5.763920358151608525e-02	1.000000000000000000e+02
9.752149607170939589e+02	7.255628045093134304e-01	2.685201714423067187e+02	2.371995353742386214e+01	1.469429600929202273e+01	5.373518130195975573e-02	9.200000000000000000e+01
9.779509365260532832e+02	1.425592574237001475e+00	2.704428728552887833e+02	4.657294247209210880e+01	1.486196964088049022e+01	1.055793860479923296e-01	8.700000000000000000e+01
9.819498943593339391e+02	2.756417771045643672e+00	2.743200179568404451e+02	8.877949874890327919e+01	1.493610682374772480e+01	2.041403001236403725e-01	7.300000000000000000e+01
9.874545625540954461e+02	3.576055388641245170e+00	2.804706825341738181e+02	1.135554108814540086e+02	1.489873109724368838e+01	2.648426620827706301e-01	7.900000000000000000e+01
9.929662077205396145e+02	2.769453619274569345e+00	2.865542487923206636e+02	8.719670093042077497e+01	1.486083865621683664e+01	2.051057350434746240e-01	9.300000000000000000e+01
9.971659834877007142e+02	1.669018211614706759e+00	2.906017735486879587e+02	5.237168460486282129e+01	1.492010326290088784e+01	1.236074887521851906e-01	9.100000000000000000e+01
1.000324388571990085e+03	1.066418562153194527e+00	2.930622127254047200e+02	3.343638132914202288e+01	1.505649178235841745e+01	7.897895871306559457e-02	8.600000000000000000e+01
1.002974148760168532e+03	8.231186825319525280e-01	2.947650790567052468e+02	2.580421981148538180e+01	1.523055054282191989e+01	6.096016962831640740e-02	9.300000000000000000e+01
1.005527849384697447e+03	9.907660812255562055e-01	2.963519030404056025e+02	3.181020669777353760e+01	1.541172347456930503e+01	7.337613597556469358e-02	9.800000000000000000e+01
1.008956339775483343e+03	2.602266003521932713e+00	2.993422255773448910e+02	8.585724269707861822e+01	1.552810947622770499e+01	1.927238202208343409e-01	1.010000000000000000e+02
1.016376461150864543e+03	7.493671702946870461e+00	3.085617704829786021e+02	2.476389035787287867e+02	1.534887528716697425e+01	5.549813263202452163e-01	9.200000000000000000e+01
1.028090753685282380e+03	7.366572461636446079e+00	3.243859224989228665e+02	2.446059710016997997e+02	1.485161478206799224e+01	5.455683565087952047e-01	1.050000000000000000e+02
1.036035471987167966e+03	3.461407055104566144e+00	3.342813831499304911e+02	1.195299488211167045e+02	1.463352894463033671e+01	2.563518065010441660e-01	1.130000000000000000e+02
1.041158670683408673e+03	2.437508887916753242e+00	3.397889850612901341e+02	8.683317992267257068e+01	1.462440484918675132e+01	1.805219082391147367e-01	1.060000000000000000e+02
1.045622579360314148e+03	2.108585557273865874e+00	3.442603490615838950e+02	7.542680652509443462e+01	1.466410777257512699e+01	1.561618463717024952e-01	1.090000000000000000e+02
1.049773207835300127e+03	1.942969667322988592e+00	3.482208623374586409e+02	7.012826279061846435e+01	1.472701222771766716e+01	1.438963335619405370e-01	9.500000000000000000e+01
1.053991569661919812e+03	2.258673582146752068e+00	3.523129316241384572e+02	8.277190439162950497e+01	1.478490035083821930e+01	1.672773654937884658e-01	1.200000000000000000e+02
